epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1585233991,03/26/2020 15:46:31 +01:00,4,40.4606,-79.9333,15206,"Rotten eggs, smokey smell",Eye watering ,
1585234008,03/26/2020 15:46:48 +01:00,5,40.4472,-79.9619,15219,Rotten eggs,,
1585234304,03/26/2020 15:51:44 +01:00,3,40.518,-79.8387,15139,Industrial (US Steel?),,
1585234500,03/26/2020 15:55:00 +01:00,4,40.4458,-79.9115,15217,"Rotten eggs, industrial ","Eye irritation, nose irritation ",
1585235489,03/26/2020 16:11:29 +01:00,5,40.4356,-79.8606,15221,Industrial,Headache,
1585235522,03/26/2020 16:12:02 +01:00,4,40.4464,-79.8933,15221,,,
1585235823,03/26/2020 16:17:03 +01:00,4,40.4555,-79.9935,15212,Exhaust ,,
1585235834,03/26/2020 16:17:14 +01:00,5,40.474,-79.8341,15235,industrial ,very hard to breathe and bothers eyes ,
1585235838,03/26/2020 16:17:18 +01:00,4,40.448,-79.9162,15206,Detergent smell,Sore throat,
1585236240,03/26/2020 16:24:00 +01:00,5,40.3833,-79.912,15120,Industrial ,Headache ,
1585236281,03/26/2020 16:24:41 +01:00,4,40.427,-79.9196,15217,,,
1585236631,03/26/2020 16:30:31 +01:00,3,40.4017,-79.8443,15104,,,
1585238673,03/26/2020 17:04:33 +01:00,1,40.3069,-80.0473,15102,,,
1585238852,03/26/2020 17:07:32 +01:00,5,40.4803,-79.9361,15201,,,
1585239188,03/26/2020 17:13:08 +01:00,1,40.4638,-79.9449,15224,,,
1585239400,03/26/2020 17:16:40 +01:00,3,40.334,-79.9246,15122,Burnt chemicals,Nasal irritation,
1585240435,03/26/2020 17:33:55 +01:00,4,40.426,-79.9333,15217,Sulfur stink ,,
1585240593,03/26/2020 17:36:33 +01:00,5,40.4806,-79.9538,15201,Industry,Nausea,
1585241761,03/26/2020 17:56:01 +01:00,3,40.3819,-79.8514,15110,Sulfurous,,
1585242025,03/26/2020 18:00:25 +01:00,1,40.4368,-80.051,15205,,,
1585242041,03/26/2020 18:00:41 +01:00,1,40.4351,-79.8596,15221,,,
1585242070,03/26/2020 18:01:10 +01:00,4,40.305,-79.9104,15025,,,
1585242572,03/26/2020 18:09:32 +01:00,2,40.3554,-79.849,15132,,,
1585243505,03/26/2020 18:25:05 +01:00,4,40.3602,-80.0182,15234,Wood smoke,stinky,
1585243550,03/26/2020 18:25:50 +01:00,3,40.4397,-79.9649,15213,"Mulch, feces",,
1585243712,03/26/2020 18:28:32 +01:00,2,40.3891,-80.0509,15216,Woodsmoke or some other lingering ,Chest pains dry throat ,Now can’t tell if from polluted air or is this something else?  Not the time to have air that is not pure. 
1585246379,03/26/2020 19:12:59 +01:00,2,40.4499,-79.9037,15208,,,
1585248020,03/26/2020 19:40:20 +01:00,5,40.3638,-80.0421,15228,Industrial  chemical stench ,,
1585250712,03/26/2020 20:25:12 +01:00,5,40.4511,-79.9367,15232,,,
1585250920,03/26/2020 20:28:40 +01:00,3,40.3615,-80.0434,15228,Woodsmoke ,,
1585251039,03/26/2020 20:30:39 +01:00,3,40.307,-80.0479,15102,wood,,
1585251342,03/26/2020 20:35:42 +01:00,1,40.3224,-80.0682,15241,,,
1585258555,03/26/2020 22:35:55 +01:00,4,40.4159,-79.877,15218,,,
1585259562,03/26/2020 22:52:42 +01:00,2,40.3051,-79.8863,15025,,,
1585261399,03/26/2020 23:23:19 +01:00,5,40.4763,-79.9633,15201,Farts,"Upset stomach, headache",
1585261902,03/26/2020 23:31:42 +01:00,3,40.329,-79.9688,15236,Wood smoke ,,
1585263378,03/26/2020 23:56:18 +01:00,3,40.3838,-79.8552,15110,diesel from Union RR,,
1585263582,03/26/2020 23:59:42 +01:00,3,40.4783,-79.9577,15201,,,
1585264616,03/27/2020 00:16:56 +01:00,4,40.4177,-79.9701,15210,woodsmoke,Headache,Not only a virus to deal with but foul air.
1585264804,03/27/2020 00:20:04 +01:00,2,40.3046,-79.9075,15025,,,
1585265236,03/27/2020 00:27:16 +01:00,3,40.4431,-79.8953,15221,Woodsmoke ,,
1585265427,03/27/2020 00:30:27 +01:00,1,40.4021,-79.8593,15104,,,
1585265942,03/27/2020 00:39:02 +01:00,3,40.3574,-80.0046,15236,Woodsmoke ,,
1585267704,03/27/2020 01:08:24 +01:00,5,40.4246,-79.882,15218,Industrial,Eye irritation ,
1585269164,03/27/2020 01:32:44 +01:00,4,40.3908,-80.0522,15216,No idea heavy smell ,Chest pains ,Not helping matters for keeping lungs of compromised individuals in shape so they have standing chance coronavirus. Those who need to quarantine and open a window can’t do so. 
1585272694,03/27/2020 02:31:34 +01:00,4,40.3057,-80.0485,15102,thick woodsmoke,,
1585275200,03/27/2020 03:13:20 +01:00,5,40.4047,-80.0192,15226,,,
1585275217,03/27/2020 03:13:37 +01:00,5,40.4037,-80.0187,15226,,,
1585277550,03/27/2020 03:52:30 +01:00,1,40.4352,-79.8617,15221,,,
1585280728,03/27/2020 04:45:28 +01:00,4,40.4852,-80.0483,15212,,,
1585280804,03/27/2020 04:46:44 +01:00,4,40.4859,-80.0489,15212,Industrial ,Can’t breathe without chest pressure ,What the hell is going on?
1585281403,03/27/2020 04:56:43 +01:00,3,40.4807,-79.9346,15201,Industrial,,
1585301131,03/27/2020 10:25:31 +01:00,3,40.3376,-79.952,15224,Industrial ,Eye irritation ,Air seems thick 
1585304924,03/27/2020 11:28:44 +01:00,4,40.4854,-80.0466,15212,,,
1585312636,03/27/2020 13:37:16 +01:00,4,40.4402,-79.8361,15235,,,
1585312678,03/27/2020 13:37:58 +01:00,4,40.4417,-79.8368,15235,Rotten eggs,,
1585314994,03/27/2020 14:16:34 +01:00,1,40.352,-79.97,15227,,,
1585318491,03/27/2020 15:14:51 +01:00,5,40.4776,-79.961,15201,Industrial,,
1585331447,03/27/2020 18:50:47 +01:00,1,40.3056,-80.0462,15102,,,
1585334808,03/27/2020 19:46:48 +01:00,4,40.4738,-79.8342,15235,industrial ,hard to breathe and bothers eyes ,
1585339589,03/27/2020 21:06:29 +01:00,5,40.305,-79.8792,15025,,,Worse than covid19
1585340353,03/27/2020 21:19:13 +01:00,5,40.4567,-80.0042,15212,Allegheny Hospital Helicopter Exhaust ,,
1585340454,03/27/2020 21:20:54 +01:00,5,40.4571,-80.0057,15212,Idling Helicopter spewing jet fuel from Allegheny General Hospital ,Difficulty Breathing. Instant air pollution ,AGH doesn’t care about their neighbors health
1585341246,03/27/2020 21:34:06 +01:00,3,40.3072,-80.0457,15102,occasional waves of heavy woodsmoke began 4pm,,
1585341432,03/27/2020 21:37:12 +01:00,3,40.305,-80.0452,15102,woodsmoke - east wind,,
1585343549,03/27/2020 22:12:29 +01:00,5,40.4564,-80.0055,15212,Jetfuel poisoning air from Allegheny General Hospital-idling Helicopter ,Difficulty breathing. Foul fuel ofor wafting into lungs!,"Again-will you step up, ALLEGHENY HEALTH DEPARTMENT???!"
1585344886,03/27/2020 22:34:46 +01:00,3,40.3212,-79.9538,15236,Industrial ,,Why is it okay for US steel to make it stink and not follow the law because people are not there yelling at them. Not that they even try when people are yelling. 
1585347634,03/27/2020 23:20:34 +01:00,4,40.2907,-79.9346,15025,,,
1585350018,03/28/2020 00:00:18 +01:00,2,40.4246,-79.8833,15218,,,
1585351121,03/28/2020 00:18:41 +01:00,4,40.4455,-79.913,15217,Industrial smelling but could be someone fireplace. ,Bronchial irritation. Cough. ,Can’t have your window open in a nice spring evening. So sad!
1585355564,03/28/2020 01:32:44 +01:00,5,40.4912,-80.0611,15202,Wood smoke. Fire pits.,"Sore throat, coughing, burning eyes, increased Coronavirus risk.",You would think the health dept would follow suit of other countries in putting a temporary ban on wood burning due to the pandemic. Coronavirus affects the LUNGS!
1585357625,03/28/2020 02:07:05 +01:00,5,40.4844,-80.0476,15212,,,
1585360940,03/28/2020 03:02:20 +01:00,4,40.3061,-80.0454,15102,heavy woodsmoke @10pm,,
1585361183,03/28/2020 03:06:23 +01:00,5,40.3903,-80.0519,15216,Fire pit remnants ,Headache dry throat coughing ,Air filter in my house is on color of danger zone during a time we have a pandemic for respiratory illnesses. You had a chance to save someone but failed if even one person develops irritation then comes down with covid. Shouldn’t be acceptable anytime in a crowded urban area let alone during pandemic 
1585367407,03/28/2020 04:50:07 +01:00,2,40.315,-79.8926,15025,,,"I first heard an explosion from the Clairton Mill, then at 11:48 I heard sirens. I hope that it is alright in there "
1585378161,03/28/2020 07:49:21 +01:00,5,40.4318,-79.875,15218,,,
1585395427,03/28/2020 12:37:07 +01:00,4,40.4266,-79.8539,15221,Rotten eggs ,,
1585396440,03/28/2020 12:54:00 +01:00,3,40.3523,-79.928,15122,Sulfur,,
1585399460,03/28/2020 13:44:20 +01:00,5,40.3294,-79.885,15045,Sulphur Clairton mill,Headache sore throat,Why isn’t Clairton mill shutting down for awhile having breathing problems from pollution
1585403825,03/28/2020 14:57:05 +01:00,1,40.6185,-80.0543,15090,,,
1585406079,03/28/2020 15:34:39 +01:00,2,40.3061,-79.9101,15025,,,
1585406714,03/28/2020 15:45:14 +01:00,4,40.448,-79.9053,15208,,,
